測站                  ,日期                  ,測項                  ,00                             ,01                             ,02                             ,03                             ,04                             ,05                             ,06                             ,07                             ,08                             ,09                             ,10                             ,11                             ,12                             ,13                             ,14                             ,15                             ,16                             ,17                             ,18                             ,19                             ,20                             ,21                             ,22                             ,23                             
臺東                  ,2020/01/15 00:00:00 ,PM10                ,16                             ,14                             ,19                             ,15                             ,17                             ,14                             ,16                             ,18                             ,16                             ,17                             ,13                             ,12                             ,18                             ,10                             ,16                             ,18                             ,14                             ,18                             ,18                             ,17                             ,19                             ,23                             ,10                             ,11                             
臺東                  ,2020/01/15 00:00:00 ,PM2.5               ,7                              ,9                              ,7                              ,9                              ,7                              ,7                              ,7                              ,8                              ,9                              ,5                              ,4                              ,4                              ,2                              ,2                              ,3                              ,6                              ,6                              ,4                              ,5                              ,6                              ,11                             ,13                             ,7                              ,6                              
臺東                  ,2020/01/15 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/01/15 00:00:00 ,RH                  ,72                             ,76                             ,76                             ,76                             ,76                             ,76                             ,76                             ,76                             ,72                             ,68                             ,72                             ,67                             ,64                             ,60                             ,62                             ,64                             ,66                             ,69                             ,73                             ,75                             ,77                             ,77                             ,78                             ,80                             
臺東                  ,2020/01/15 00:00:00 ,SO2                 ,1                              ,1.4                            ,1.6                            ,1.5                            ,1.4                            ,1.3                            ,1.3                            ,1.4                            ,1.5                            ,1.5                            ,1.3                            ,1.3                            ,1.4                            ,1.2                            ,1.2                            ,1.3                            ,1.3                            ,1.3                            ,1.3                            ,1.2                            ,1.3                            ,1.3                            ,1.3                            ,1.2                            
臺東                  ,2020/01/15 00:00:00 ,WD_HR               ,321                            ,326                            ,320                            ,322                            ,320                            ,324                            ,325                            ,322                            ,321                            ,7                              ,37                             ,47                             ,52                             ,63                             ,59                             ,66                             ,70                             ,51                             ,351                            ,320                            ,310                            ,310                            ,310                            ,310                            
臺東                  ,2020/01/15 00:00:00 ,WIND_DIREC          ,319                            ,331                            ,324                            ,317                            ,317                            ,321                            ,323                            ,325                            ,321                            ,17                             ,44                             ,81                             ,59                             ,68                             ,80                             ,48                             ,70                             ,32                             ,321                            ,303                            ,307                            ,310                            ,310                            ,320                            
臺東                  ,2020/01/15 00:00:00 ,WIND_SPEED          ,2.1                            ,2.1                            ,1.9                            ,2.6                            ,2.4                            ,3.2                            ,2.1                            ,2.1                            ,2                              ,2.5                            ,3.2                            ,2.8                            ,2.7                            ,2.4                            ,2.6                            ,2.3                            ,1.9                            ,1.6                            ,1.1                            ,1.1                            ,1.1                            ,1                              ,1.2                            ,0.8                            
臺東                  ,2020/01/15 00:00:00 ,WS_HR               ,1.6                            ,1.5                            ,1.7                            ,2                              ,2                              ,2                              ,1.9                            ,2                              ,1.9                            ,1.4                            ,2.1                            ,1.8                            ,2.2                            ,2.1                            ,2.1                            ,1.9                            ,1.8                            ,1.3                            ,0.8                            ,0.9                            ,0.9                            ,0.9                            ,1                              ,0.8                            
臺東                  ,2020/01/16 00:00:00 ,AMB_TEMP            ,19.6                           ,19.3                           ,19.6                           ,19.2                           ,19.1                           ,19                             ,19.1                           ,19.3                           ,20.7                           ,22.7                           ,24.9                           ,25.4                           ,25.4                           ,25.1                           ,24.7                           ,24.3                           ,24.1                           ,23.9                           ,23.4                           ,22.6                           ,22.2                           ,21.5                           ,21.6                           ,21.2                           
臺東                  ,2020/01/16 00:00:00 ,CO                  ,0.33                           ,0.28                           ,0.28                           ,0.26                           ,0.26                           ,0.25                           ,0.28                           ,0.39                           ,0.44                           ,0.39                           ,0.33                           ,0.33                           ,0.33                           ,0.26                           ,0.26                           ,0.33                           ,0.42                           ,0.94                           ,0.5                            ,#                              ,0.58                           ,0.51                           ,0.34                           ,0.29                           
臺東                  ,2020/01/16 00:00:00 ,NO                  ,0                              ,0.3                            ,0.3                            ,0.3                            ,0.3                            ,0.3                            ,0.3                            ,0.7                            ,2.5                            ,2.5                            ,1.6                            ,#                              ,1.4                            ,0.8                            ,1                              ,1.5                            ,1.4                            ,2.3                            ,1.7                            ,#                              ,1                              ,0.9                            ,0.3                            ,0.3                            
臺東                  ,2020/01/16 00:00:00 ,NO2                 ,4                              ,2                              ,1.3                            ,1.1                            ,1.1                            ,1.5                            ,2.5                            ,5.4                            ,6.6                            ,6.2                            ,3.6                            ,#                              ,3.5                            ,3                              ,3.4                            ,6.6                            ,7.9                            ,15.3                           ,12                             ,#                              ,14.9                           ,12.6                           ,6.9                            ,4.7                            
臺東                  ,2020/01/16 00:00:00 ,NOx                 ,3.9                            ,2.1                            ,1.4                            ,1.2                            ,1.2                            ,1.7                            ,2.8                            ,6.1                            ,9.1                            ,8.7                            ,5.2                            ,#                              ,5                              ,3.8                            ,4.4                            ,8.1                            ,9.3                            ,17.6                           ,13.7                           ,#                              ,15.9                           ,13.5                           ,7                              ,5                              
臺東                  ,2020/01/16 00:00:00 ,O3                  ,24.8                           ,24.2                           ,25.7                           ,24.4                           ,24                             ,24.8                           ,24.8                           ,22.1                           ,21.8                           ,28.5                           ,40                             ,#                              ,42.3                           ,41.7                           ,41.7                           ,38.7                           ,38.2                           ,30.7                           ,31.4                           ,#                              ,22.4                           ,19.7                           ,24.8                           ,26.5                           
臺東                  ,2020/01/16 00:00:00 ,PM10                ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,10                             ,11                             ,5                              ,5                              ,16                             ,22                             ,15                             ,15                             ,16                             ,17                             ,16                             ,25                             ,25                             ,21                             ,17                             ,26                             ,19                             ,17                             
臺東                  ,2020/01/16 00:00:00 ,PM2.5               ,7                              ,6                              ,4                              ,2                              ,5                              ,3                              ,5                              ,5                              ,5                              ,4                              ,3                              ,#                              ,#                              ,5                              ,3                              ,6                              ,6                              ,5                              ,6                              ,5                              ,6                              ,11                             ,10                             ,7                              
臺東                  ,2020/01/16 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/01/16 00:00:00 ,RH                  ,79                             ,77                             ,74                             ,71                             ,68                             ,64                             ,62                             ,61                             ,59                             ,52                             ,54                             ,57                             ,57                             ,59                             ,62                             ,65                             ,67                             ,68                             ,71                             ,73                             ,73                             ,76                             ,75                             ,77                             
臺東                  ,2020/01/16 00:00:00 ,SO2                 ,1.2                            ,1.5                            ,1.5                            ,1.4                            ,1.4                            ,1.4                            ,1.4                            ,1.5                            ,1.5                            ,1.6                            ,1.5                            ,#                              ,1.6                            ,1.4                            ,1.5                            ,1.5                            ,1.5                            ,1.7                            ,1.7                            ,#                              ,1.6                            ,1.6                            ,1.5                            ,1.5                            
臺東                  ,2020/01/16 00:00:00 ,WD_HR               ,311                            ,316                            ,317                            ,317                            ,311                            ,313                            ,313                            ,312                            ,321                            ,325                            ,41                             ,132                            ,135                            ,149                            ,122                            ,108                            ,#                              ,#                              ,22                             ,333                            ,318                            ,313                            ,319                            ,315                            
臺東                  ,2020/01/16 00:00:00 ,WIND_DIREC          ,324                            ,317                            ,317                            ,321                            ,306                            ,318                            ,312                            ,316                            ,322                            ,341                            ,121                            ,121                            ,135                            ,172                            ,111                            ,92                             ,#                              ,45                             ,2                              ,306                            ,305                            ,306                            ,328                            ,314                            
臺東                  ,2020/01/16 00:00:00 ,WIND_SPEED          ,1.2                            ,1.9                            ,1.3                            ,1.7                            ,1.6                            ,1.8                            ,1.6                            ,1.8                            ,1.7                            ,1.4                            ,1.4                            ,1.8                            ,1.9                            ,1.9                            ,1.5                            ,1.5                            ,#                              ,1                              ,1.1                            ,0.8                            ,1                              ,1                              ,0.7                            ,1.4                            
臺東                  ,2020/01/16 00:00:00 ,WS_HR               ,0.9                            ,1.4                            ,1.5                            ,1.4                            ,1.2                            ,1.4                            ,1.4                            ,1.3                            ,1.7                            ,1.4                            ,0.3                            ,1.4                            ,1.3                            ,1.3                            ,1.1                            ,1.2                            ,#                              ,#                              ,0.9                            ,0.7                            ,0.8                            ,0.8                            ,0.9                            ,0.9                            
臺東                  ,2020/01/17 00:00:00 ,AMB_TEMP            ,20.5                           ,20.2                           ,20.2                           ,20                             ,19.8                           ,19.7                           ,19.6                           ,19.8                           ,21.1                           ,22.6                           ,23.2                           ,23.3                           ,22.8                           ,22.2                           ,21.9                           ,21.5                           ,20.7                           ,20.2                           ,19.5                           ,19.3                           ,19.4                           ,19.3                           ,19                             ,18.8                           
臺東                  ,2020/01/17 00:00:00 ,CO                  ,0.25                           ,0.24                           ,0.24                           ,0.23                           ,0.22                           ,0.22                           ,0.26                           ,0.39                           ,0.39                           ,0.4                            ,0.38                           ,#                              ,0.35                           ,0.32                           ,0.32                           ,0.33                           ,0.32                           ,0.44                           ,0.44                           ,0.4                            ,0.39                           ,0.38                           ,0.34                           ,0.27                           
臺東                  ,2020/01/17 00:00:00 ,NO                  ,0.3                            ,0                              ,0                              ,0                              ,0                              ,0                              ,0.3                            ,0.9                            ,2.2                            ,2.3                            ,2.2                            ,#                              ,1.7                            ,#                              ,#                              ,1.1                            ,#                              ,0.9                            ,1.1                            ,0.6                            ,0.8                            ,0.8                            ,0.3                            ,0.3                            
臺東                  ,2020/01/17 00:00:00 ,NO2                 ,3.3                            ,2.5                            ,1.7                            ,1.4                            ,1.2                            ,1.6                            ,3.2                            ,5.6                            ,6                              ,7.2                            ,6.1                            ,#                              ,5.2                            ,#                              ,#                              ,4.9                            ,#                              ,8.4                            ,8.7                            ,7.3                            ,7.5                            ,7.1                            ,4.4                            ,3                              
臺東                  ,2020/01/17 00:00:00 ,NOx                 ,3.5                            ,2.4                            ,1.5                            ,1.2                            ,0.9                            ,1.6                            ,3.3                            ,6.5                            ,8.2                            ,9.4                            ,8.3                            ,#                              ,6.9                            ,#                              ,#                              ,6.1                            ,#                              ,9.3                            ,9.8                            ,7.9                            ,8.3                            ,7.9                            ,4.7                            ,3.2                            
臺東                  ,2020/01/17 00:00:00 ,O3                  ,25.9                           ,27.5                           ,29.4                           ,28.5                           ,26.4                           ,26                             ,23.4                           ,21.3                           ,21.3                           ,34.2                           ,39.2                           ,40.3                           ,#                              ,43.6                           ,#                              ,#                              ,39.6                           ,34.7                           ,31                             ,31.9                           ,31.1                           ,30.2                           ,31.7                           ,32.1                           
臺東                  ,2020/01/17 00:00:00 ,PM10                ,16                             ,11                             ,15                             ,14                             ,13                             ,10                             ,13                             ,15                             ,14                             ,16                             ,17                             ,11                             ,13                             ,21                             ,20                             ,#                              ,15                             ,12                             ,5                              ,5                              ,10                             ,12                             ,5                              ,5                              
臺東                  ,2020/01/17 00:00:00 ,PM2.5               ,10                             ,9                              ,6                              ,9                              ,6                              ,5                              ,5                              ,9                              ,6                              ,7                              ,5                              ,3                              ,2                              ,3                              ,#                              ,13                             ,11                             ,6                              ,1                              ,1                              ,1                              ,2                              ,2                              ,1                              
臺東                  ,2020/01/17 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,#                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/01/17 00:00:00 ,RH                  ,79                             ,81                             ,80                             ,78                             ,76                             ,72                             ,69                             ,68                             ,67                             ,74                             ,74                             ,74                             ,76                             ,76                             ,75                             ,76                             ,79                             ,80                             ,83                             ,81                             ,78                             ,77                             ,78                             ,79                             
臺東                  ,2020/01/17 00:00:00 ,SO2                 ,1.3                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,1                              ,0.5                            ,#                              ,1                              ,1                              ,1                              ,0.5                            ,1                              ,1                              ,1                              ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            
臺東                  ,2020/01/17 00:00:00 ,WD_HR               ,314                            ,320                            ,320                            ,318                            ,320                            ,317                            ,314                            ,315                            ,321                            ,41                             ,64                             ,65                             ,57                             ,50                             ,57                             ,38                             ,27                             ,352                            ,323                            ,323                            ,324                            ,325                            ,324                            ,323                            
臺東                  ,2020/01/17 00:00:00 ,WIND_DIREC          ,308                            ,317                            ,319                            ,317                            ,318                            ,316                            ,309                            ,314                            ,329                            ,38                             ,84                             ,74                             ,62                             ,50                             ,52                             ,32                             ,14                             ,337                            ,319                            ,319                            ,334                            ,312                            ,317                            ,316                            
臺東                  ,2020/01/17 00:00:00 ,WIND_SPEED          ,1.3                            ,1.9                            ,1.6                            ,2.4                            ,2.3                            ,2.3                            ,1.9                            ,2                              ,1.5                            ,2.7                            ,2.9                            ,3.3                            ,3.5                            ,4.4                            ,3.6                            ,3.7                            ,3                              ,1.5                            ,1.9                            ,1.4                            ,1.5                            ,1.7                            ,1.5                            ,2                              
臺東                  ,2020/01/17 00:00:00 ,WS_HR               ,1.2                            ,1.3                            ,1.4                            ,1.6                            ,1.6                            ,1.8                            ,1.5                            ,1.8                            ,1.6                            ,1.6                            ,2.3                            ,2.7                            ,2.7                            ,3.1                            ,2.9                            ,3                              ,2.7                            ,1.5                            ,1.5                            ,1.4                            ,1.1                            ,0.9                            ,1.1                            ,1.3                            
臺東                  ,2020/01/18 00:00:00 ,AMB_TEMP            ,18.4                           ,18.3                           ,18.1                           ,17.8                           ,17.8                           ,17.8                           ,17.8                           ,17.7                           ,17.8                           ,18                             ,18.5                           ,19                             ,19.2                           ,18.7                           ,18.5                           ,18.1                           ,17.7                           ,17.3                           ,17.2                           ,17.3                           ,17.5                           ,17.4                           ,17.3                           ,17.2                           
臺東                  ,2020/01/18 00:00:00 ,CO                  ,0.25                           ,0.24                           ,0.24                           ,0.25                           ,0.25                           ,0.27                           ,0.3                            ,0.35                           ,0.41                           ,0.43                           ,0.47                           ,0.45                           ,0.45                           ,0.43                           ,0.45                           ,0.44                           ,0.47                           ,0.52                           ,0.49                           ,0.47                           ,0.5                            ,0.45                           ,0.42                           ,0.39                           
臺東                  ,2020/01/18 00:00:00 ,NO                  ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0.3                            ,0.8                            ,1.8                            ,2.1                            ,2.2                            ,1.1                            ,0.7                            ,1                              ,1                              ,0.7                            ,1.4                            ,0.8                            ,0.9                            ,0.8                            ,0.6                            ,0.3                            ,0.3                            
臺東                  ,2020/01/18 00:00:00 ,NO2                 ,2.2                            ,2.1                            ,1.7                            ,1.4                            ,1.2                            ,1.5                            ,2.5                            ,4.6                            ,7.3                            ,8.9                            ,10.4                           ,8.8                            ,6.7                            ,6.6                            ,7.6                            ,6.2                            ,7.5                            ,7.6                            ,7.2                            ,6.4                            ,6.8                            ,5.5                            ,4                              ,3                              
臺東                  ,2020/01/18 00:00:00 ,NOx                 ,2.2                            ,1.6                            ,1.3                            ,1.1                            ,1                              ,1.3                            ,2.2                            ,4.9                            ,8.1                            ,10.7                           ,12.5                           ,11                             ,7.8                            ,7.2                            ,8.5                            ,7.2                            ,8.2                            ,9                              ,8                              ,7.3                            ,7.6                            ,6                              ,4.1                            ,3                              
臺東                  ,2020/01/18 00:00:00 ,O3                  ,33.8                           ,33.2                           ,34                             ,35.8                           ,36                             ,34.8                           ,33.1                           ,31                             ,28.2                           ,27.3                           ,26.2                           ,27.9                           ,31.2                           ,31.4                           ,30.9                           ,31.5                           ,29.7                           ,29.4                           ,29.6                           ,31.2                           ,30.4                           ,32.1                           ,32.4                           ,32.1                           
臺東                  ,2020/01/18 00:00:00 ,PM10                ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,11                             ,10                             ,5                              ,5                              ,11                             ,5                              ,14                             ,14                             ,14                             ,11                             ,5                              ,5                              ,5                              ,5                              
臺東                  ,2020/01/18 00:00:00 ,PM2.5               ,1                              ,1                              ,2                              ,1                              ,1                              ,2                              ,4                              ,5                              ,2                              ,2                              ,4                              ,3                              ,1                              ,1                              ,3                              ,3                              ,3                              ,6                              ,6                              ,6                              ,5                              ,5                              ,5                              ,5                              
臺東                  ,2020/01/18 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/01/18 00:00:00 ,RH                  ,80                             ,79                             ,79                             ,79                             ,78                             ,77                             ,77                             ,77                             ,77                             ,75                             ,73                             ,71                             ,69                             ,71                             ,73                             ,75                             ,78                             ,80                             ,81                             ,79                             ,77                             ,77                             ,78                             ,79                             
臺東                  ,2020/01/18 00:00:00 ,SO2                 ,0.5                            ,1.2                            ,1.1                            ,1.2                            ,1.1                            ,1.2                            ,1.2                            ,1.2                            ,1.3                            ,1.2                            ,1.4                            ,1.3                            ,1.3                            ,1.2                            ,1.3                            ,1.2                            ,1.3                            ,1.2                            ,1.3                            ,1.2                            ,1.2                            ,1.2                            ,1.2                            ,1.2                            
臺東                  ,2020/01/18 00:00:00 ,WD_HR               ,322                            ,322                            ,323                            ,319                            ,322                            ,324                            ,324                            ,321                            ,324                            ,322                            ,323                            ,318                            ,320                            ,318                            ,317                            ,321                            ,321                            ,321                            ,321                            ,322                            ,319                            ,320                            ,321                            ,318                            
臺東                  ,2020/01/18 00:00:00 ,WIND_DIREC          ,327                            ,325                            ,323                            ,328                            ,318                            ,325                            ,325                            ,327                            ,320                            ,322                            ,319                            ,314                            ,319                            ,317                            ,321                            ,322                            ,316                            ,330                            ,317                            ,319                            ,319                            ,329                            ,318                            ,318                            
臺東                  ,2020/01/18 00:00:00 ,WIND_SPEED          ,1.7                            ,1.8                            ,1.7                            ,1.9                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,2.2                            ,2.9                            ,2.5                            ,1.8                            ,2.4                            ,2.5                            ,2.8                            ,2.3                            ,2.9                            ,2.5                            ,2.5                            ,1.5                            ,0.5                            ,0.5                            
臺東                  ,2020/01/18 00:00:00 ,WS_HR               ,1.6                            ,1.3                            ,1.3                            ,1.9                            ,1.5                            ,0.4                            ,0.4                            ,0.4                            ,0.4                            ,0.4                            ,0.9                            ,2.1                            ,1.9                            ,1.5                            ,2.1                            ,2.2                            ,2.3                            ,2.4                            ,2.1                            ,2.1                            ,1.9                            ,1.8                            ,0.4                            ,0.4                            
